id,field_name,quality_issue_code,severity,is_blocking,recommended_fix
EXP000001,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000003,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000006,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000010,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000010,govt_guarantee_flag,REGULATORY_FLAG_UNCONFIRMED,4,true,Attach guarantee eligibility evidence before relying on substitution.
EXP000013,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000015,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000016,expected_yield,MISSING_PROFITABILITY,2,false,Replace synthetic profitability proxy with finance-system feed.
EXP000017,govt_guarantee_flag,REGULATORY_FLAG_UNCONFIRMED,4,true,Attach guarantee eligibility evidence before relying on substitution.
EXP000018,expected_yield,MISSING_PROFITABILITY,2,false,Replace synthetic profitability proxy with finance-system feed.
EXP000024,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000030,expected_yield,MISSING_PROFITABILITY,2,false,Replace synthetic profitability proxy with finance-system feed.
EXP000034,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000035,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000036,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000038,expected_yield,MISSING_PROFITABILITY,2,false,Replace synthetic profitability proxy with finance-system feed.
EXP000039,govt_guarantee_flag,REGULATORY_FLAG_UNCONFIRMED,4,true,Attach guarantee eligibility evidence before relying on substitution.
EXP000040,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000040,expected_yield,MISSING_PROFITABILITY,2,false,Replace synthetic profitability proxy with finance-system feed.
EXP000041,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000041,govt_guarantee_flag,REGULATORY_FLAG_UNCONFIRMED,4,true,Attach guarantee eligibility evidence before relying on substitution.
EXP000042,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000046,expected_yield,MISSING_PROFITABILITY,2,false,Replace synthetic profitability proxy with finance-system feed.
EXP000047,expected_yield,MISSING_PROFITABILITY,2,false,Replace synthetic profitability proxy with finance-system feed.
EXP000048,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000048,expected_yield,MISSING_PROFITABILITY,2,false,Replace synthetic profitability proxy with finance-system feed.
EXP000053,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000055,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000060,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000065,expected_yield,MISSING_PROFITABILITY,2,false,Replace synthetic profitability proxy with finance-system feed.
EXP000069,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000072,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000076,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000078,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000080,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000085,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000087,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000090,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000091,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000093,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000094,expected_yield,MISSING_PROFITABILITY,2,false,Replace synthetic profitability proxy with finance-system feed.
EXP000095,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
EXP000096,counterparty_external_rating,MISSING_EXTERNAL_RATING,3,false,Confirm eligible ECAI rating or keep exposure on unrated treatment.
EXP000098,original_maturity,SUSPICIOUS_MATURITY,2,false,Review contractual maturity and repayment schedule.
